記録者	日付	クエスト分類	ステージ	難易度	ドロップ数	1周スタミナ	ベルブースター	魔法糸ブースター	UR宝珠	SR宝珠	R宝珠	魔技のクォーツ	ジュエル	魔法糸大	UR確定プレミアガチャチケットのかけら	SR以上限定プレミアガチャチケットのかけら	プレミアガチャチケット	属性技の素材（下級）	属性技の素材（中級）	属性技の素材（上級）
@Mk2Noko	2020/11/06	無尽討伐	ニンフ	-	10	20	0	0	0	1	0	0	0	5	0	0	1	16	41	0
@Mk2Noko	2020/11/06	無尽討伐	ニンフ	-	10	20	0	0	0	2	1	0	54	3	7	0	0	12	0	14
@Mk2Noko	2020/11/01	無尽討伐	ニンフ	-	10	20	1	1	0	1	3	0	0	8	0	0	0	38	0	11
@Mk2Noko	2020/11/01	無尽討伐	ニンフ	-	10	20	1	1	0	1	0	0	0	8	0	10	0	19	30	13
@71hKCMK5Jv9niuH	2020/10/29	無尽討伐	ニンフ	-	10	20	1	1	0	1	2	0	0	12	0	0	0	51	0	15
@71hKCMK5Jv9niuH	2020/10/29	無尽討伐	ニンフ	-	10	20	1	1	0	0	3	0	37	10	0	0	1	0	33	0
@71hKCMK5Jv9niuH	2020/10/29	無尽討伐	ニンフ	-	10	20	1	1	0	1	2	1	0	0	0	0	0	36	38	25
@71hKCMK5Jv9niuH	2020/10/29	無尽討伐	ニンフ	-	10	20	1	1	0	1	0	1	30	0	0	6	0	42	54	0
