記録者	日付	クエスト分類	ステージ	難易度	周回数	ベルブースター	魔法糸ブースター	魔法糸小	魔法糸中	魔法糸大	ベル	ジュエル	プレミアガチャチケット	SR以上限定プレミアガチャチケットのかけら	1984エリザ	2061エリザ	クッキングエプロンエリザ	ホリデーカジュアルエリザ	ラウンジウェアエリザ	俊敏の破宝珠	精密の破宝珠
@Mk2Noko	10月24日	メインストーリー第2部	10-5	ヘル	50	1	1	0	70	20	784642	4	0	0	0	0	3	0	4	5	17
@Mk2Noko	10月24日	メインストーリー第2部	10-5	ヘル	50	1	1	0	74	22	703348	0	0	0	0	1	0	1	3	42	6
@Mk2Noko	10月24日	メインストーリー第2部	10-5	ヘル	50	1	1	0	74	24	666194	14	0	1	0	0	1	1	3	18	29
@Mk2Noko	10月24日	メインストーリー第2部	10-5	ヘル	50	1	1	0	84	38	666128	4	0	0	0	0	0	0	4	13	19
@Mk2Noko	10月23日	メインストーリー第2部	10-4	ヘル	50	1	1	0	90	46	577356	0	0	0	0	0	1	0	2	14	33
@Mk2Noko	10月23日	メインストーリー第2部	10-4	ヘル	50	1	1	0	80	18	661154	6	0	0	0	0	0	1	5	37	26
@Mk2Noko	10月23日	メインストーリー第2部	10-4	ヘル	50	1	1	0	74	36	633202	3	0	2	0	0	3	1	1	23	12
@Mk2Noko	10月23日	メインストーリー第2部	10-4	ヘル	50	1	1	0	66	30	683006	0	0	0	0	0	1	0	2	33	26
