記録者	日付	クエスト分類	ステージ	難易度	周回数	1周スタミナ	ベルブースター	魔法糸ブースター	魔法糸小	魔法糸中	魔法糸大	ベル	ジュエル	プレミアガチャチケット	SR以上限定プレミアガチャチケットのかけら	堅守の宝珠核のかけら	守備の宝珠核のかけら	俊敏の宝珠核のかけら	属性の宝珠核のかけら
@Mk2Noko	2021/01/27	宝珠が出るアワビ	夜	深度3	50	7	1	1	0	57	22	236633	11	0	0	212	125	132	25
@Mk2Noko	2021/01/27	宝珠が出るアワビ	夜	深度3	39	7	1	1	0	31	12	184684	9	0	0	160	119	130	56
@Mk2Noko	2021/01/27	宝珠が出るアワビ	夜	深度3	12	7	1	1	0	12	4	47193	0	0	0	33	49	18	15
@Mk2Noko	2021/01/27	宝珠が出るアワビ	夜	深度3	12	7	1	1	0	5	6	47903	0	0	0	34	61	46	17
@Mk2Noko	2020/10/25	宝珠が出るアワビ	夜	深度3	20	7	1	1	0	40	12	160778	10	0	0	76	64	64	37
